Evictions_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
32,0.110925249,0.082857012,0.147590872,Hispanic,Race
37,0.105381226,0.07802998,0.141429727,Hispanic,Race
42,0.103061171,0.076361118,0.138023495,Hispanic,Race
47,0.106020395,0.078435937,0.142285307,Hispanic,Race
52,0.092453484,0.068071612,0.124705564,Hispanic,Race
57,0.12107297,0.089941638,0.160934363,Hispanic,Race
62,0.11945047,0.086292682,0.163095328,Hispanic,Race
72,0.098838204,0.069206384,0.139476304,Hispanic,Race
87,0.155256663,0.091216519,0.251281276,Hispanic,Race
NA,0.117597116,0.085162731,0.161120214,Hispanic,Race
2,0.103427093,0.069778449,0.156466653,Multi,Race
7,0.103872175,0.072231912,0.147828204,Multi,Race
12,0.094258482,0.06477032,0.135589942,Multi,Race
17,0.088026798,0.060094728,0.127826761,Multi,Race
22,0.090823899,0.061059906,0.133883461,Multi,Race
27,0.103654694,0.07211411,0.147309645,Multi,Race
32,0.087991937,0.061426588,0.124726475,Multi,Race
37,0.115017254,0.076423018,0.169063444,Multi,Race
42,0.110184879,0.077102446,0.156205637,Multi,Race
47,0.103954886,0.070138116,0.151814699,Multi,Race
52,0.110469454,0.077847223,0.154491774,Multi,Race
57,0.087154852,0.059914206,0.125132187,Multi,Race
62,0.08055661,0.053538747,0.119460023,Multi,Race
72,0.134121959,0.087492731,0.199831,Multi,Race
87,0.079240033,0.046131548,0.132802146,Multi,Race
NA,0.144524713,0.098095418,0.208064889,Multi,Race
2,0.107263098,0.049584189,0.215953975,Native American,Race
7,0.138221211,0.067283743,0.260546743,Native American,Race
12,0.148162201,0.068592258,0.302512495,Native American,Race
17,0.178684689,0.090021721,0.323691656,Native American,Race
22,0.139523181,0.069285788,0.260329578,Native American,Race
27,0.158367866,0.079146436,0.290435606,Native American,Race
37,0.174347303,0.086367028,0.319843567,Native American,Race
42,0.170573669,0.084523565,0.314164776,Native American,Race
57,0.189490472,0.095528015,0.341027893,Native American,Race
87,0.206476371,0.097373096,0.385602439,Native American,Race
2,0.108219287,0.058242908,0.191441815,Other,Race
7,0.145837685,0.078785433,0.252520958,Other,Race
12,0.136600487,0.073518397,0.236165698,Other,Race
17,0.11570963,0.063576064,0.199333119,Other,Race
22,0.102319956,0.055126998,0.180817829,Other,Race
27,0.129710436,0.071265631,0.222906602,Other,Race
32,0.134797513,0.074693926,0.230837162,Other,Race
37,0.140463674,0.067355303,0.25889858,Other,Race
42,0.076137363,0.041716811,0.134015011,Other,Race
47,0.103299998,0.05673367,0.17989297,Other,Race
52,0.109712427,0.058815468,0.19538845,Other,Race
62,0.126825932,0.06918459,0.219835656,Other,Race
NA,0.10975315,0.059597228,0.19303461,Other,Race
2,0.089259365,0.063690119,0.124891102,White,Race
7,0.091722789,0.066735864,0.12539365,White,Race
12,0.089345869,0.065068943,0.122204736,White,Race
17,0.096694776,0.070284307,0.132591737,White,Race
22,0.099787826,0.073628459,0.134396967,White,Race
27,0.098743121,0.072636857,0.13669283,White,Race
32,0.106356151,0.080235181,0.139826052,White,Race
37,0.10145688,0.074858679,0.136285768,White,Race
42,0.115184381,0.082393501,0.159140862,White,Race
47,0.110580811,0.077817466,0.156649696,White,Race
52,0.10868488,0.076401558,0.152717914,White,Race
57,0.184795848,0.120719769,0.272813755,White,Race
62,0.134917645,0.093835242,0.190045339,White,Race
72,0.108272936,0.071313243,0.160861325,White,Race
87,0.135121118,0.082551332,0.213381868,White,Race
NA,0.087287632,0.060639493,0.129505397,White,Race
