Total_Permits_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
542,0.081834425,0.047901349,0.136493792,No,Disability_Status
549,0.075122849,0.045591236,0.121351273,No,Disability_Status
556,0.049028419,0.029348726,0.082379305,No,Disability_Status
563,0.06705634,0.03909334,0.112858275,No,Disability_Status
570,0.080210166,0.048485812,0.129922086,No,Disability_Status
577,0.112073132,0.071688564,0.171774293,No,Disability_Status
591,0.080020756,0.048808769,0.12858537,No,Disability_Status
598,0.105592445,0.063957947,0.169480114,No,Disability_Status
605,0.13664749,0.0875109,0.209062944,No,Disability_Status
612,0.101843961,0.064379112,0.157025796,No,Disability_Status
619,0.069741561,0.038334563,0.12376689,No,Disability_Status
626,0.128750478,0.083161631,0.194261054,No,Disability_Status
633,0.061130736,0.036714646,0.099804495,No,Disability_Status
640,0.031265958,0.017261136,0.056375015,No,Disability_Status
647,0.034369517,0.019738971,0.059730909,No,Disability_Status
654,0.074694892,0.04455245,0.122467798,No,Disability_Status
661,0.162488364,0.090346288,0.27028984,No,Disability_Status
668,0.047207064,0.03050578,0.072591886,No,Disability_Status
675,0.123248016,0.081658584,0.181825446,No,Disability_Status
682,0.11161724,0.071568901,0.167977876,No,Disability_Status
689,0.084190983,0.050637292,0.136775084,No,Disability_Status
696,0.070755028,0.044414782,0.110924611,No,Disability_Status
703,0.081714897,0.052912559,0.124322245,No,Disability_Status
710,0.146701438,0.094118404,0.220138581,No,Disability_Status
717,0.070967631,0.04381757,0.112953061,No,Disability_Status
724,0.071430649,0.044580916,0.111687314,No,Disability_Status
731,0.063424284,0.041314562,0.096229597,No,Disability_Status
745,0.049436688,0.03086355,0.078283968,No,Disability_Status
752,0.118673984,0.074818006,0.182563511,No,Disability_Status
759,0.144708664,0.093005209,0.218009587,No,Disability_Status
766,0.101294055,0.061839526,0.161585518,No,Disability_Status
787,0.080336237,0.04741531,0.133355904,No,Disability_Status
794,0.112712241,0.06774068,0.183975638,No,Disability_Status
801,0.059866036,0.037507588,0.094247383,No,Disability_Status
808,0.077560454,0.047950392,0.123167313,No,Disability_Status
815,0.104954396,0.060560906,0.175810743,No,Disability_Status
843,0.082287595,0.046945791,0.140318257,No,Disability_Status
850,0.095525395,0.055716684,0.162452723,No,Disability_Status
885,0.066361266,0.032079538,0.132219926,No,Disability_Status
899,0.092720357,0.052187194,0.161630351,No,Disability_Status
1011,0.06826408,0.034353074,0.131104896,No,Disability_Status
1032,0.247323378,0.127136875,0.425713096,No,Disability_Status
1228,0.286432795,0.105980209,0.576135775,No,Disability_Status
1270,0.376932419,0.143536215,0.685905616,No,Disability_Status
1284,0.432594899,0.185038771,0.719106038,No,Disability_Status
NA,0.253440728,0.073892088,0.590901877,No,Disability_Status
3,0.142636868,0.103854192,0.193709819,Female,Gender
10,0.140638147,0.103549084,0.188853977,Female,Gender
17,0.124301893,0.08960997,0.170563263,Female,Gender
24,0.123081185,0.093017675,0.161795373,Female,Gender
31,0.12188488,0.092675432,0.159798353,Female,Gender
38,0.125011679,0.092306328,0.169238186,Female,Gender
45,0.118503176,0.091017772,0.153608847,Female,Gender
52,0.11895992,0.089519505,0.157650654,Female,Gender
59,0.115325392,0.08789301,0.150771998,Female,Gender
66,0.117187404,0.088865662,0.153958182,Female,Gender
73,0.11393759,0.086539333,0.149558394,Female,Gender
80,0.110597129,0.083553257,0.146042559,Female,Gender
87,0.112478954,0.085767216,0.14713907,Female,Gender
94,0.113827202,0.085988674,0.150171239,Female,Gender
101,0.111383649,0.085248551,0.145161063,Female,Gender
108,0.114257329,0.087345307,0.149403575,Female,Gender
115,0.116558147,0.08936768,0.151861708,Female,Gender
122,0.108153882,0.081471324,0.143581063,Female,Gender
129,0.115520217,0.08686969,0.153092757,Female,Gender
136,0.099840769,0.075721976,0.131617991,Female,Gender
143,0.110202435,0.084205616,0.144297424,Female,Gender
150,0.113177758,0.08489029,0.150654539,Female,Gender
157,0.109042677,0.08116271,0.146537115,Female,Gender
164,0.105270128,0.077743077,0.142084961,Female,Gender
171,0.106655815,0.078867182,0.144119423,Female,Gender
178,0.105535695,0.077538049,0.142462783,Female,Gender
