Des_Age,PredictedProb,LL,UL,Grouping_Var,Grouping
85,0.039231111,0.027230459,0.056621953,Female,Gender
86,0.041107099,0.027888306,0.060439993,Female,Gender
87,0.03605965,0.024128891,0.053840947,Female,Gender
88,0.032186471,0.022418939,0.046013641,Female,Gender
89,0.049230505,0.035473745,0.067969335,Female,Gender
90,0.047473164,0.032821825,0.068279483,Female,Gender
91,0.049011329,0.034439976,0.069429221,Female,Gender
92,0.042198421,0.028869257,0.061335058,Female,Gender
93,0.046623699,0.033482818,0.064577348,Female,Gender
94,0.031046007,0.019115244,0.050043431,Female,Gender
15,0.099308563,0.058543028,0.163529861,Male,Gender
16,0.142870697,0.099761921,0.201780598,Male,Gender
17,0.188761666,0.138015294,0.254662881,Male,Gender
18,0.163937879,0.124351023,0.217748525,Male,Gender
19,0.18056239,0.140351895,0.229664533,Male,Gender
20,0.163523619,0.121138828,0.218161839,Male,Gender
21,0.175782302,0.131243346,0.23285422,Male,Gender
22,0.170788635,0.12478128,0.230984978,Male,Gender
23,0.172787942,0.132554813,0.223393219,Male,Gender
24,0.174231545,0.131553001,0.228453586,Male,Gender
25,0.17972109,0.140223009,0.227901206,Male,Gender
26,0.170760713,0.131828271,0.219611509,Male,Gender
27,0.164850317,0.12548182,0.215863943,Male,Gender
28,0.165797523,0.126737776,0.216243641,Male,Gender
29,0.158725078,0.118601316,0.210704271,Male,Gender
30,0.160418441,0.118858534,0.215334812,Male,Gender
31,0.157276636,0.11294743,0.217582213,Male,Gender
32,0.151404307,0.107145984,0.21254715,Male,Gender
33,0.15446212,0.112030637,0.211950564,Male,Gender
34,0.142626707,0.105251506,0.194246105,Male,Gender
35,0.141750316,0.102931714,0.195556248,Male,Gender
36,0.141058094,0.102747809,0.193523404,Male,Gender
37,0.139700347,0.101750283,0.191205271,Male,Gender
38,0.155055564,0.114482871,0.206349989,Male,Gender
39,0.143692301,0.100032835,0.203605664,Male,Gender
40,0.127469019,0.097665689,0.166378671,Male,Gender
41,0.112065217,0.084711544,0.14724284,Male,Gender
42,0.133183651,0.098655888,0.178623207,Male,Gender
43,0.126091655,0.090097664,0.174026381,Male,Gender
44,0.136897623,0.096284675,0.191206733,Male,Gender
45,0.134240757,0.095556333,0.186570771,Male,Gender
46,0.121411508,0.091335544,0.16121174,Male,Gender
47,0.133261247,0.09754112,0.181019301,Male,Gender
48,0.111751744,0.081735943,0.153389917,Male,Gender
49,0.113392956,0.083032589,0.155266857,Male,Gender
50,0.115766576,0.085343553,0.155205641,Male,Gender
51,0.113619412,0.082407332,0.156914496,Male,Gender
52,0.107597055,0.080151845,0.144991311,Male,Gender
53,0.107132048,0.07673992,0.149745144,Male,Gender
54,0.099751548,0.071830091,0.138485994,Male,Gender
