Income_Change_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
-22830,0.12204229,0.089202491,0.167627423,No,High_School_Grad
-20330,0.130490796,0.096753121,0.175555203,No,High_School_Grad
-17830,0.135056211,0.099856621,0.182214489,No,High_School_Grad
-15330,0.131235702,0.098635851,0.175763528,No,High_School_Grad
-12830,0.120435641,0.090296865,0.160331826,No,High_School_Grad
-10330,0.1103261,0.082532835,0.148730268,No,High_School_Grad
-7830,0.120755464,0.091420489,0.160222627,No,High_School_Grad
-5330,0.106022201,0.079720926,0.140803229,No,High_School_Grad
-2830,0.104969408,0.079855324,0.137872498,No,High_School_Grad
-330,0.097254494,0.073470228,0.128931701,No,High_School_Grad
2170,0.114021216,0.087659629,0.14812732,No,High_School_Grad
4670,0.116950097,0.088995588,0.153827564,No,High_School_Grad
7170,0.116116592,0.088565675,0.151717818,No,High_School_Grad
9670,0.114319214,0.086473275,0.15243661,No,High_School_Grad
12170,0.117766678,0.089466288,0.154177473,No,High_School_Grad
14670,0.118272882,0.088392141,0.158430071,No,High_School_Grad
17170,0.11445835,0.083242113,0.156912539,No,High_School_Grad
19670,0.127957205,0.094990413,0.171436323,No,High_School_Grad
22170,0.111376656,0.081645713,0.151036318,No,High_School_Grad
24670,0.116987963,0.083542787,0.164257067,No,High_School_Grad
27170,0.094054227,0.066648756,0.131437288,No,High_School_Grad
29670,0.144795073,0.093968197,0.218776838,No,High_School_Grad
32170,0.103114689,0.072293832,0.145597497,No,High_School_Grad
34670,0.139212665,0.091978702,0.209883742,No,High_School_Grad
37170,0.101791054,0.069948712,0.146095301,No,High_School_Grad
39670,0.114166246,0.079430247,0.16142902,No,High_School_Grad
42170,0.155721016,0.100387846,0.237410692,No,High_School_Grad
44670,0.1359698,0.094866644,0.191121448,No,High_School_Grad
47170,0.13181638,0.091755907,0.185574026,No,High_School_Grad
49670,0.123960184,0.080071283,0.187015073,No,High_School_Grad
54670,0.131124289,0.086896042,0.193103103,No,High_School_Grad
57170,0.203089439,0.104665736,0.357147454,No,High_School_Grad
NA,0.099755913,0.056603138,0.169883014,No,High_School_Grad
-52830,0.16517799,0.109074072,0.242291762,Yes,High_School_Grad
-45330,0.158288522,0.109234264,0.223808709,Yes,High_School_Grad
-42830,0.132353837,0.071059838,0.233243176,Yes,High_School_Grad
-40330,0.095753035,0.06310288,0.145095654,Yes,High_School_Grad
-37830,0.10601438,0.073827671,0.149973806,Yes,High_School_Grad
-35330,0.148787728,0.101794878,0.209182167,Yes,High_School_Grad
-32830,0.112946368,0.075085309,0.166960912,Yes,High_School_Grad
-30330,0.145084645,0.101561967,0.204793011,Yes,High_School_Grad
-27830,0.128994754,0.089744015,0.183368761,Yes,High_School_Grad
-25330,0.122351989,0.085212775,0.174190868,Yes,High_School_Grad
-22830,0.131198706,0.091653379,0.187113555,Yes,High_School_Grad
-20330,0.137233197,0.092331771,0.200903263,Yes,High_School_Grad
-17830,0.148040699,0.100372858,0.213738285,Yes,High_School_Grad
-15330,0.145657987,0.100134652,0.209467523,Yes,High_School_Grad
-12830,0.135657585,0.098337984,0.183851099,Yes,High_School_Grad
-10330,0.132463261,0.094346097,0.184699087,Yes,High_School_Grad
-7830,0.121818013,0.090520389,0.161973375,Yes,High_School_Grad
-5330,0.123912907,0.090929267,0.16734608,Yes,High_School_Grad
-2830,0.108701588,0.079355378,0.147984665,Yes,High_School_Grad
-330,0.101571613,0.073368014,0.139509363,Yes,High_School_Grad
2170,0.12549458,0.089854551,0.173318725,Yes,High_School_Grad
4670,0.128460626,0.093428372,0.175068745,Yes,High_School_Grad
7170,0.13713934,0.100947118,0.184697166,Yes,High_School_Grad
9670,0.134949778,0.092461495,0.193973075,Yes,High_School_Grad
12170,0.131003331,0.094009574,0.18068628,Yes,High_School_Grad
14670,0.171529266,0.128932873,0.224941817,Yes,High_School_Grad
17170,0.104181849,0.073379518,0.145958116,Yes,High_School_Grad
19670,0.134431346,0.092133612,0.19476887,Yes,High_School_Grad
22170,0.145727606,0.098421139,0.210407834,Yes,High_School_Grad
24670,0.114506911,0.08241792,0.15746037,Yes,High_School_Grad
27170,0.142701865,0.101367178,0.197256272,Yes,High_School_Grad
-75330,0.077091187,0.044293443,0.131271804,None,None
-67830,0.090200958,0.061903671,0.12964579,None,None
-62830,0.109978973,0.071940731,0.164861337,None,None
-60330,0.120923388,0.067661952,0.206810657,None,None
-57830,0.073294073,0.052172696,0.10204555,None,None
-55330,0.124481099,0.069741088,0.21302795,None,None
-52830,0.164087454,0.112513562,0.232449436,None,None
-50330,0.085406315,0.055605522,0.130145838,None,None
-47830,0.108675295,0.07740779,0.150193235,None,None
-45330,0.133864136,0.094719605,0.186785953,None,None
-42830,0.114210747,0.078733865,0.164795039,None,None
-40330,0.134945348,0.088281463,0.201832361,None,None
-37830,0.108864801,0.076102293,0.154796479,None,None
-35330,0.130261981,0.090185503,0.19055504,None,None
-32830,0.1204118,0.086635001,0.166556506,None,None
-30330,0.128636553,0.092346984,0.177885173,None,None
-27830,0.126506903,0.091234197,0.174786822,None,None
-25330,0.113254134,0.080981537,0.15844853,None,None
-22830,0.123419953,0.089571248,0.170559282,None,None
-20330,0.131473587,0.096108653,0.179250005,None,None
-17830,0.136648649,0.099919933,0.186080615,None,None
-15330,0.132609253,0.098778594,0.178973432,None,None
-12830,0.122495081,0.091384781,0.163513845,None,None
-10330,0.113063491,0.083993615,0.153178025,None,None
-7830,0.120876323,0.091318108,0.160421764,None,None
-5330,0.108753606,0.081432123,0.144855573,None,None
-2830,0.105554559,0.07977694,0.139457936,None,None
-330,0.098084159,0.073450585,0.130964518,None,None
2170,0.115738094,0.087988078,0.151896969,None,None
4670,0.118594458,0.089628843,0.156862018,None,None
7170,0.118964295,0.090242843,0.15618514,None,None
9670,0.118487005,0.087683017,0.160827815,None,None
12170,0.119793913,0.090162107,0.15823738,None,None
14670,0.128647502,0.096289686,0.171386905,None,None
17170,0.113413282,0.082239137,0.15579853,None,None
19670,0.128532685,0.094736475,0.173510327,None,None
22170,0.11910562,0.085420184,0.164394909,None,None
24670,0.116657156,0.083392805,0.16335084,None,None
27170,0.102162167,0.072435159,0.142407119,None,None
29670,0.144795073,0.093968197,0.218776838,None,None
32170,0.103114689,0.072293832,0.145597497,None,None
34670,0.139212665,0.091978702,0.209883742,None,None
37170,0.101791054,0.069948712,0.146095301,None,None
39670,0.114166246,0.079430247,0.16142902,None,None
42170,0.155721016,0.100387846,0.237410692,None,None
44670,0.1359698,0.094866644,0.191121448,None,None
47170,0.13181638,0.091755907,0.185574026,None,None
49670,0.123960184,0.080071283,0.187015073,None,None
54670,0.131124289,0.086896042,0.193103103,None,None
57170,0.203089439,0.104665736,0.357147454,None,None
NA,0.099755913,0.056603138,0.169883014,None,None
-75330,0.077091187,0.044293443,0.131271804,No Change,Relationship_Status
-67830,0.090200958,0.061903671,0.12964579,No Change,Relationship_Status
-62830,0.109978973,0.071940731,0.164861337,No Change,Relationship_Status
-60330,0.120923388,0.067661952,0.206810657,No Change,Relationship_Status
-57830,0.073294073,0.052172696,0.10204555,No Change,Relationship_Status
-55330,0.124481099,0.069741088,0.21302795,No Change,Relationship_Status
-52830,0.164087454,0.112513562,0.232449436,No Change,Relationship_Status
-50330,0.085406315,0.055605522,0.130145838,No Change,Relationship_Status
-47830,0.108675295,0.07740779,0.150193235,No Change,Relationship_Status
-45330,0.133864136,0.094719605,0.186785953,No Change,Relationship_Status
-42830,0.114210747,0.078733865,0.164795039,No Change,Relationship_Status
-40330,0.134945348,0.088281463,0.201832361,No Change,Relationship_Status
-37830,0.106018214,0.075248118,0.148644499,No Change,Relationship_Status
-35330,0.123623147,0.087043334,0.179596401,No Change,Relationship_Status
-32830,0.11857972,0.086312763,0.162184004,No Change,Relationship_Status
-30330,0.128519254,0.092536995,0.177133578,No Change,Relationship_Status
-27830,0.124126953,0.090606699,0.169637194,No Change,Relationship_Status
-25330,0.11206255,0.080662829,0.155784312,No Change,Relationship_Status
-22830,0.122049188,0.089020356,0.168025801,No Change,Relationship_Status
-20330,0.130225307,0.095729174,0.176678573,No Change,Relationship_Status
-17830,0.133783382,0.098977529,0.180355597,No Change,Relationship_Status
-15330,0.131264338,0.098507228,0.17594139,No Change,Relationship_Status
-12830,0.119582974,0.090013657,0.158546015,No Change,Relationship_Status
-10330,0.112367344,0.083940547,0.15140054,No Change,Relationship_Status
-7830,0.11897731,0.091142487,0.155664809,No Change,Relationship_Status
-5330,0.107489008,0.081084081,0.142146451,No Change,Relationship_Status
-2830,0.104895113,0.07969901,0.137793302,No Change,Relationship_Status
-330,0.097197777,0.073228794,0.128991589,No Change,Relationship_Status
2170,0.113919236,0.08760676,0.147772814,No Change,Relationship_Status
4670,0.117687159,0.089785949,0.154120202,No Change,Relationship_Status
7170,0.117723163,0.090034776,0.153256936,No Change,Relationship_Status
9670,0.116188992,0.086916768,0.156235665,No Change,Relationship_Status
12170,0.119093621,0.090212625,0.156210633,No Change,Relationship_Status
14670,0.126492195,0.095300846,0.167691311,No Change,Relationship_Status
17170,0.113413282,0.082239137,0.15579853,No Change,Relationship_Status
19670,0.126772301,0.09426341,0.169726463,No Change,Relationship_Status
22170,0.11433769,0.083691501,0.155015638,No Change,Relationship_Status
24670,0.110837427,0.08148686,0.15141343,No Change,Relationship_Status
27170,0.102162167,0.072435159,0.142407119,No Change,Relationship_Status
29670,0.138997654,0.093350134,0.204022982,No Change,Relationship_Status
32170,0.103114689,0.072293832,0.145597497,No Change,Relationship_Status
34670,0.139212665,0.091978702,0.209883742,No Change,Relationship_Status
37170,0.101791054,0.069948712,0.146095301,No Change,Relationship_Status
39670,0.114166246,0.079430247,0.16142902,No Change,Relationship_Status
42170,0.162431276,0.115239536,0.223251735,No Change,Relationship_Status
44670,0.1359698,0.094866644,0.191121448,No Change,Relationship_Status
47170,0.13181638,0.091755907,0.185574026,No Change,Relationship_Status
49670,0.123960184,0.080071283,0.187015073,No Change,Relationship_Status
54670,0.131124289,0.086896042,0.193103103,No Change,Relationship_Status
NA,0.099755913,0.056603138,0.169883014,No Change,Relationship_Status
-37830,0.174336305,0.09574832,0.296292009,Got Divorced,Relationship_Status
-35330,0.362007569,0.21560409,0.539454671,Got Divorced,Relationship_Status
-32830,0.213430615,0.111045762,0.370835327,Got Divorced,Relationship_Status
-27830,0.235475241,0.135869498,0.376072682,Got Divorced,Relationship_Status
-25330,0.211614824,0.116522232,0.359796335,Got Divorced,Relationship_Status
-22830,0.263749336,0.155253503,0.409615162,Got Divorced,Relationship_Status
-20330,0.218283989,0.119951803,0.36304866,Got Divorced,Relationship_Status
-17830,0.276575201,0.161011935,0.432906397,Got Divorced,Relationship_Status
-15330,0.208014254,0.117566567,0.341145214,Got Divorced,Relationship_Status
-12830,0.284602324,0.167710683,0.440056407,Got Divorced,Relationship_Status
-10330,0.182461309,0.104410753,0.299101465,Got Divorced,Relationship_Status
-7830,0.22655862,0.125914115,0.374620587,Got Divorced,Relationship_Status
-5330,0.18264484,0.103132292,0.299929868,Got Divorced,Relationship_Status
-2830,0.181287991,0.102765944,0.299374117,Got Divorced,Relationship_Status
-330,0.204885643,0.115243582,0.335544858,Got Divorced,Relationship_Status
2170,0.248433452,0.143227983,0.395199977,Got Divorced,Relationship_Status
4670,0.186917972,0.106260258,0.306592277,Got Divorced,Relationship_Status
9670,0.279949882,0.162513423,0.437854997,Got Divorced,Relationship_Status
12170,0.159372994,0.088647037,0.269820437,Got Divorced,Relationship_Status
14670,0.292450889,0.171441572,0.452252011,Got Divorced,Relationship_Status
22170,0.276736483,0.160237265,0.434146778,Got Divorced,Relationship_Status
-35330,0.170708592,0.09359585,0.290959606,Got Married,Relationship_Status
-32830,0.155638542,0.084780903,0.268352855,Got Married,Relationship_Status
-30330,0.141187634,0.072015853,0.258305761,Got Married,Relationship_Status
-27830,0.13829249,0.07313533,0.246281185,Got Married,Relationship_Status
-25330,0.159681894,0.08601336,0.277113217,Got Married,Relationship_Status
-22830,0.237965806,0.130962916,0.392417816,Got Married,Relationship_Status
-20330,0.226287954,0.127479584,0.369594596,Got Married,Relationship_Status
-17830,0.193470399,0.103539671,0.332372757,Got Married,Relationship_Status
-15330,0.205862238,0.111772272,0.348031005,Got Married,Relationship_Status
-10330,0.101662806,0.052870781,0.186610997,Got Married,Relationship_Status
-7830,0.109099457,0.05713229,0.198296269,Got Married,Relationship_Status
-5330,0.153541281,0.085575617,0.260130659,Got Married,Relationship_Status
-2830,0.143884602,0.073075227,0.261220155,Got Married,Relationship_Status
-330,0.120895137,0.065459182,0.211865973,Got Married,Relationship_Status
2170,0.163213834,0.086515914,0.283535438,Got Married,Relationship_Status
