Rent_Groups,PredictedProb,LL,UL,Grouping_Var,Grouping
1439,0.054776396,0.040222893,0.074406126,Disabled,Disability_Status
1449,0.057808422,0.042218429,0.078631955,Disabled,Disability_Status
1454,0.060367402,0.042864229,0.085398172,Disabled,Disability_Status
1459,0.074207435,0.055236283,0.099011466,Disabled,Disability_Status
1464,0.089268698,0.066384971,0.11903498,Disabled,Disability_Status
1469,0.127462991,0.09467994,0.169567533,Disabled,Disability_Status
1474,0.028001745,0.019101742,0.040875691,Disabled,Disability_Status
1479,0.071972603,0.053817876,0.095647144,Disabled,Disability_Status
1489,0.13199439,0.099275615,0.173192387,Disabled,Disability_Status
1494,0.033761869,0.02350257,0.048283277,Disabled,Disability_Status
1504,0.084411317,0.060638723,0.116405832,Disabled,Disability_Status
1514,0.072968646,0.052818683,0.100006786,Disabled,Disability_Status
1519,0.098546817,0.071993988,0.133351395,Disabled,Disability_Status
1524,0.106060094,0.076861084,0.144382128,Disabled,Disability_Status
1539,0.090085544,0.062251024,0.128658267,Disabled,Disability_Status
1549,0.064043131,0.040335814,0.100229102,Disabled,Disability_Status
1554,0.115247696,0.083523089,0.15687128,Disabled,Disability_Status
1559,0.049967469,0.034607308,0.071784935,Disabled,Disability_Status
1564,0.057652272,0.041524694,0.079523866,Disabled,Disability_Status
1574,0.094208296,0.060679682,0.147938588,Disabled,Disability_Status
1579,0.0750162,0.051974836,0.106962846,Disabled,Disability_Status
1584,0.117030703,0.086493045,0.156599265,Disabled,Disability_Status
1594,0.113081279,0.077349941,0.162921467,Disabled,Disability_Status
1599,0.073757245,0.05260578,0.102537491,Disabled,Disability_Status
1604,0.095443108,0.067791247,0.132992119,Disabled,Disability_Status
1609,0.054858439,0.038672198,0.077437707,Disabled,Disability_Status
1614,0.084560347,0.06204442,0.114314608,Disabled,Disability_Status
1624,0.029058442,0.016498299,0.05072722,Disabled,Disability_Status
1629,0.033623779,0.021787686,0.05155094,Disabled,Disability_Status
1634,0.064256582,0.04554107,0.090028702,Disabled,Disability_Status
